,0
0,19.435684523809527
1,16.972166666666666
2,21.493477678571423
3,20.267863636363643
4,20.054034965034955
5,19.317530487804877
6,20.0533125
7,18.656599999999997
8,20.054034965034955
9,20.748973484848495
10,20.054034965034955
11,20.054034965034955
12,20.267863636363643
13,20.748973484848495
14,19.64482926829268
15,20.748973484848495
16,20.054034965034955
17,19.226793103448273
18,20.83971951219512
19,21.992139999999996
20,19.435684523809527
21,20.054034965034955
22,20.7591370967742
23,20.9487
24,18.674890243902436
25,22.28901666666666
26,22.590261904761896
27,21.452541666666672
28,18.645229166666663
29,21.660019230769233
