,0
0,19.779964805647502
1,19.820212113148372
2,19.80012310305522
3,19.681075587514542
4,19.795648007513577
5,20.45861021159787
6,20.410338773181216
7,19.758277777198685
8,19.165494034902242
9,20.457503846297385
10,20.408825079189583
11,19.925994794690574
12,20.265663993587257
13,20.28953363213093
14,20.169610880816137
15,20.47413730528777
16,20.60642957732418
17,19.627613021850156
18,20.301225653181984
19,20.19390887613791
20,19.595447043778222
21,20.29638455445884
22,20.20066293945792
23,20.004095421945248
24,19.30521959141796
25,20.347919615390058
26,20.457873237042072
27,20.163092148435258
28,20.180305229404446
29,20.588255044158327
