,0
0,2.159885666666666
1,2.3297813095238085
2,2.11910625
3,2.052783500000001
4,2.038097083333333
5,2.0792504166666688
6,2.092585
7,2.1908196666666666
8,2.142477500000001
9,2.004391666666667
10,2.0535971666666666
11,2.0531754166666656
12,2.086398333333334
13,2.032214166666666
14,2.092282500000001
15,2.105618333333333
16,2.011633750000001
17,2.116717333333334
18,2.037884952380953
19,2.008539166666668
20,2.0518195833333337
21,1.9933779999999997
22,2.1135111904761907
23,2.264511666666667
24,2.099533333333333
25,2.5987129166666665
26,2.1539905
27,2.1569049999999996
28,2.1691868333333333
29,2.0511374999999994
