,0
0,21.556136305809712
1,20.026757188684815
2,24.701819915094514
3,17.695932287468477
4,19.470887649084265
5,20.486552280695008
6,20.22703112040131
7,21.722473119874426
8,21.388879947502716
9,22.970350333163534
10,21.38044440725765
11,20.028788590289547
12,22.99013355661078
13,20.066455672647923
14,20.12839452377617
15,17.30553542525538
16,21.80806098878851
17,20.780490592070187
18,17.405453887488203
19,23.46012655175645
20,19.168397174667195
21,20.5891313497573
22,20.295792176179656
23,14.26547203180112
24,22.96552323552034
25,19.40123232678551
26,19.946685744202927
27,23.30452699338047
28,16.68100633958655
29,19.420064913481813
