,0
0,22.018452380952375
1,20.211366666666663
2,21.778624999999998
3,21.090062500000002
4,19.792236842105268
5,18.927758064516123
6,22.273575
7,18.889600000000005
8,22.066076923076917
9,21.21578571428572
10,21.380828125
11,19.19591666666667
12,23.554341463414634
13,22.521720000000002
14,18.294399999999996
15,17.638607142857143
16,21.225653846153843
17,19.07308333333333
18,17.79552777777777
19,21.225653846153843
20,19.323861111111107
21,22.746028571428575
22,22.50404545454546
23,17.537125
24,22.431714285714285
25,21.727024999999998
26,18.204
27,22.243
28,17.90225
29,18.810948275862067
