,0
0,23.960346122786195
1,20.750127365482232
2,26.216329417698113
3,17.260639223111646
4,20.97588112780138
5,18.74405413482196
6,19.866354791512002
7,19.394390074763585
8,20.874993943314855
9,23.29893364956608
10,23.367372117540167
11,23.80751928831058
12,20.88769439796905
13,21.656240393010965
14,18.91522205863955
15,15.802231514405753
16,25.459006195581185
17,19.86199738151475
18,13.322828612238037
19,22.420780854616677
20,19.820515947899978
21,22.54525859390782
22,15.655475260929354
23,12.910851915775048
24,24.099283662659982
25,23.15152911976061
26,19.000019135437668
27,20.204049896126314
28,16.99066744368139
29,17.971706359137077
