,0
0,20.720699599297177
1,20.790890627714056
2,22.19788351014319
3,18.52681330279432
4,20.826986809598914
5,19.87568034752143
6,21.031946676601745
7,20.851500862771765
8,21.172861997663002
9,21.068004133786843
10,20.54049338813613
11,19.96803250857401
12,20.961983866385843
13,20.47950140189434
14,19.86564976821032
15,18.505382934882853
16,20.95741002494992
17,19.832376303812858
18,19.895071011515604
19,20.78933954388815
20,20.008766280610264
21,21.192495192654338
22,20.211367563052153
23,17.98723913259535
24,21.267248376076616
25,20.32170107566936
26,19.104272418962495
27,21.093771396923685
28,19.579749396017153
29,19.86115222253357
