,0
0,2.113920651988939
1,2.023349686884579
2,2.0996556325236733
3,2.175626452480113
4,2.098849459149491
5,2.0857513228452724
6,2.117628440818715
7,2.0716702535799727
8,2.173429949632768
9,2.041519327679029
10,2.1052350210944915
11,2.108259288198159
12,2.108424547404334
13,2.095957022717419
14,2.0559967552720164
15,2.034594503696921
16,2.0419510220271153
17,2.0973193574851967
18,2.1349388548202395
19,2.042002975389269
20,2.0533762769198307
21,2.1412323026903013
22,2.0838262781100396
23,2.149759561233265
24,2.1585464567575636
25,2.0793243239678496
26,2.16166266764958
27,2.1193597065594494
28,2.0261099689142417
29,2.1312719315101574
