Real1,Pred1,Real2,Pred2
2.1175,2.08007995044541,21.5955,20.7206995992972
2.551,1.95364240118711,11.6705,21.7206995992972
2.2345,1.95417351281275,18.5815,22.7206995992972
2.4085,2.17668608181873,12.6875,23.7206995992972
1.903,2.03457566510265,20.4295,24.7206995992972
2.19,1.90462455523742,19.364,25.7206995992972
2.143,2.16068490358174,20.1775,26.7206995992972
1.991,2.11510491777898,21.6465,27.7206995992972
1.868,2.06352084217595,18.1665,28.7206995992972
1.8425,2.16870792436724,22.2695,29.7206995992972
2.219,2.13007703602914,20.3895,30.7206995992972
1.9785,2.13906858164596,24.7655,31.7206995992972
1.928,2.182475522671,25.4475,32.7206995992972
2.794,2.22353809529936,10.64,33.7206995992972
1.928,2.13311754387427,22.722,34.7206995992972
1.7195,2.18483920012539,19.491,35.7206995992972
2.0135,2.02741154021327,19.9115,36.7206995992972
1.881,2.12474816322348,21.7285,37.7206995992972
2.089,2.11627357245281,19.15,38.7206995992972
2.4275,1.94528746962024,14.8615,39.7206995992972
2.1775,2.08603048911784,21.2765,40.7206995992972
2.108,2.03811486712755,18.289,41.7206995992972
1.8205,2.32018852617768,21.068,42.7206995992972
2.8285,2.27399186488773,16.361,43.7206995992972
2.0985,2.05342925253411,21.387,44.7206995992972
1.8045,2.07721857124803,21.944,45.7206995992972
2.0545,2.07918969430115,21.375,46.7206995992972
1.9975,2.12098396308543,20.3695,47.7206995992972
1.947,2.11909144735291,24.6965,48.7206995992972
1.906,2.09769831774839,23.2345,20.7206995992972
