,0
0,2.1024639413127995
1,1.9504647224790927
2,1.8144508360605922
3,2.2906505251265674
4,2.1202019659401783
5,1.9477292451320134
6,2.5332606794928942
7,2.1615466176781717
8,1.9644031413184178
9,2.0205319005694165
10,1.9406028659026033
11,2.020652215608368
12,2.366171575584974
13,2.2853925374928097
14,2.2110543068273
15,2.3064811965694534
16,2.0049230524946857
17,2.551449938415441
18,2.1139805283295434
19,1.9532983177937198
20,2.1523401303194936
21,1.947753656790211
22,2.472988596921045
23,2.5215232720983605
24,2.0471631604349128
25,2.18356395406711
26,2.097513442607061
27,2.0667621053318417
28,2.423395315263288
29,1.9775209537889302
