,0
0,2.1720396522483445
1,1.1703750031506561
2,1.6794745141679324
3,2.328636102060826
4,2.0850874564794957
5,1.783691525629231
6,2.5506749452438466
7,2.1120014067643034
8,2.478792976879401
9,2.198359078562232
10,2.235898158147169
11,1.6008847863987719
12,2.683654751572221
13,2.1170944231793394
14,2.1442032663190638
15,1.959082944789836
16,1.287769015504816
17,2.2986269819398273
18,2.4235981841769476
19,1.8911120451323313
20,2.0761069832547596
21,1.8203932299246584
22,2.9245144459643697
23,2.4146994049308264
24,2.4764545649930416
25,1.828086165139112
26,1.7158918297171593
27,2.551551735662509
28,1.9710110155311793
29,1.9507834065357852
